Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2010,City Council D4,RCV,7,Daniel Swafford,M,n/a,http://www.smartvoter.org/2010/11/02/ca/alm/vote/swafford_d/,N,11.2,,n/a,,,,,,,,,,,,,,
2010,City Council D4,RCV,7,Clinton Killian,M,Undetermined,http://www.eastbayexpress.com/oakland/the-chambers-candidate-has-quite-a-history-in-business/Content?oid=1089470,N,5.41,,Photo-see H,,,,,,,,,,,,,,
2010,City Council D4,RCV,7,Ralph Kanz,M,n/a,could not find,N,4.19,,n/a,,,,,,,,,,,,,,
2010,City Council D4,RCV,7,Jason Gillen,M,n/a,https://www.facebook.com/pages/Jason-Gillen-for-Oakland-City-Council-District-4/111207652239810,N,2.51,,n/a,,,,,,,,,,,,,,
2010,City Council D6,RCV,3,Desley Brooks,F,African American,,Y,64.15,,,,,,,,,,,,,,,,
2010,City Council D6,RCV,3,Jose Dorado,M,Latino,http://ww2.kqed.org/news/2014/09/19/what-oakland-residents-want-from-their-next-mayor,N,21.41,,Surname,,,,,,,,,,,,,,
2010,City Council D6,RCV,3,Nancy Sidebotham,F,n/a,,N,13.78,,,,,,,,,,,,,,,,
2010,Mayor,RCV,10,Don Perata,M,n/a,https://ballotpedia.org/Don_Perata,N,33.74,49.04,n/a,,,,,,,,,,,,,,
2010,Mayor,RCV,10,Jean Quan,F,Asian,,Y,24.45,50.96,,,,,,,,,,,,,,,
2010,Mayor,RCV,10,Rebecca Kaplan,F,n/a,,N,21.6,,,,,,,,,,,,,,,,
2010,Mayor,RCV,10,Joe Tuman,M,n/a,,N,12,,,,,,,,,,,,,,,,
2010,Mayor,RCV,10,Marcie Hodge,F,African American,http://www.eastbayexpress.com/oakland/the-baffling-mayoral-bid-of-marcie-hodge/Content?oid=2088792,N,2.5,,Photo- see H,,,,,,,,,,,,,,
2010,Mayor,RCV,10,Terence Candell,M,African American,https://oaklandnorth.net/2010/10/29/terence-candell-fights-for-role-as-mayor/,N,1.93,,Photo- see H,,,,,,,,,,,,,,
2010,Mayor,RCV,10,Don MacLeay,M,n/a,https://oaklandnorth.net/2012/02/25/oakland-green-party-proposes-an-alliance-with-progressive-candidates/,N,1.36,,n/a,,,,,,,,,,,,,,
2010,Mayor,RCV,10,Greg Harland,M,n/a,http://www.smartvoter.org/2010/11/02/ca/alm/vote/harland_g/,N,0.8,,n/a,,,,,,,,,,,,,,
2010,Mayor,RCV,10,"Larry Lionel Young, Jr.",M,African American,,N,0.77,,,,,,,,,,,,,,,,
