Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2008,Board of Supervisors D1,RCV,9,Alicia Wang,F,Asian,http://www.smartvoter.org/2008/11/04/ca/sf/vote/wang_a/bio.html,N,14.66,0,Photo and she works very closely with organizations that promote the increase fo Asian American representation,,,,,,,,,,,,,,
2008,Board of Supervisors D1,RCV,9,Brian J. Larkin,M,n/a,https://www.linkedin.com/pub/brian-j-larkin/5/aab/722,N,3.47,0,n/a,,,,,,,,,,,,,,
2008,Board of Supervisors D1,RCV,9,Jason Jungreis,M,n/a,http://www.jungreislaw.com/,N,2.13,0,n/a,,,,,,,,,,,,,,
2008,Board of Supervisors D1,RCV,9,Nicholas C. Belloni,M,n/a,https://www.youtube.com/watch?v=61S8L90M2w4,N,1.87,0,n/a,,,,,,,,,,,,,,
2008,Board of Supervisors D1,RCV,9,Fidel Chrys Gakuba,M,African American,http://blog.sfgate.com/cityinsider/2008/10/21/talking-the-talk/ and https://www.youtube.com/watch?v=RUdQWj5HrjY,N,1.26,0,Video- see H,,,,,,,,,,,,,,
2008,Board of Supervisors D1,RCV,9,George Flamik,M,n/a,http://www.nytimes.com/2010/07/25/us/25bcintel.html?_r=0,N,1.13,0,n/a,,,,,,,,,,,,,,
2008,Board of Supervisors D1,RCV,9,Sherman R. D'Silva,M,Asian,,N,0.89,0,,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,John Avalos,M,Latino,,Y,28.19,52.93,,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,Ahsha Safai,M,Middle Eastern,http://www.iranianamericanpac.org/ahsha-safai.aspx,N,24.21,47.07,Website,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,Myrna Lim,F,Asian,https://www.youtube.com/watch?v=uhYL42FDtb8,N,18.1,0,Video- see H,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,Julio Ramos,M,Latino,http://san-francisco.attorneydirectorydb.org/attorneys/law-office-of-julio-ramos and http://www.beyondchron.org/battle-lines-emerging-in-san-francisco-supervisor-races/,N,14.78,0,Photo- see H,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,Randy Knox,M,Undetermined- suspect multiracial,http://legalpad.typepad.com/my_weblog/2008/04/knox-to-run-for.html and http://www.randallknoxlaw.com/,N,9.47,0,,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,Mary Goodnature,F,n/a,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0CCEQtwIwAWoVChMI04TR6urYxgIVg8o-Ch3E3weX&url=http%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D2aguY4my1Yw&ei=iRCkVZOcF4OV-wHEv5-4CQ&usg=AFQjCNFTmnluWp6aMw18HAeIpiKl5dWzgA&sig2=nFm7MunxO1RI_tggZ0xQVA,N,1.85,0,n/a,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,Adrian Bermudez,M,Latino,http://www.asianweek.com/2008/09/10/are-you-a-capitalist-communist-or-socialist/,N,1.67,0,Article- see H,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,Eli M. Horn,M,Undetermined,could not find,N,1.59,0,,,,,,,,,,,,,,,
2008,Board of Supervisors D11,RCV,9,A. Jackson Matteson,F,African American,http://www.smartvoter.org/2008/11/04/ca/sf/vote/matteson_a/bio.html,N,0.02,0,Photo- see H,,,,,,,,,,,,,,
2008,Board of Supervisors D3,RCV,9,David Chiu,M,Asian,,Y,37.72,59.37,,,,,,,,,,,,,,,
2008,Board of Supervisors D3,RCV,9,"Joseph Alioto, Jr.",M,n/a,http://www.fogcityjournal.com/wordpress/582/san-francisco-d3-candidates-jockey-for-position/,N,23.16,40.63,n/a,,,,,,,,,,,,,,
2008,Board of Supervisors D3,RCV,9,Denise McCarthy,F,n/a,http://www.fogcityjournal.com/wordpress/582/san-francisco-d3-candidates-jockey-for-position/,N,11.69,0,n/a,,,,,,,,,,,,,,
2008,Board of Supervisors D3,RCV,9,Claudine Cheng,F,Asian,http://www.fogcityjournal.com/wordpress/582/san-francisco-d3-candidates-jockey-for-position/,N,9.21,0,Photo- see H,,,,,,,,,,,,,,
2008,Board of Supervisors D3,RCV,9,Mike Denunzio,M,n/a,http://www.fogcityjournal.com/wordpress/582/san-francisco-d3-candidates-jockey-for-position/,N,4.91,0,n/a,,,,,,,,,,,,,,
